Metoda;Krok_Typ;h0;Iteracja;x0_1;x0_2;x_opt_1;x_opt_2;y_opt;f_calls;g_calls;H_calls;Status
SD;Staly 0.05;0.05;55;-1.07659;0.575912;-1.74755;0.873767;0.298638;125;124;0;1
SD;Staly 0.05;0.05;56;0.377209;0.00614457;4.30638e-06;-1.03965e-05;1.00406e-10;116;115;0;1
SD;Staly 0.05;0.05;57;1.29386;1.26539;4.36801e-06;-1.05453e-05;1.03301e-10;133;132;0;1
SD;Staly 0.05;0.05;58;1.11091;1.02509;-4.14452e-06;1.00058e-05;9.30012e-11;105;104;0;1
SD;Staly 0.05;0.05;59;1.21192;-1.87138;1.74755;-0.873785;0.298638;116;115;0;1
SD;Staly 0.05;0.05;60;1.32974;0.45581;1.74755;-0.873767;0.298638;122;121;0;1
SD;Staly 0.05;0.05;61;1.93415;-1.17713;1.74755;-0.873785;0.298638;106;105;0;1
SD;Staly 0.05;0.05;62;-1.25957;-0.991242;-4.16119e-06;1.0046e-05;9.37498e-11;139;138;0;1
SD;Staly 0.05;0.05;63;-1.20535;-1.28141;4.43091e-06;-1.06973e-05;1.06299e-10;103;102;0;1
SD;Staly 0.05;0.05;64;-0.115665;-1.75191;4.17821e-06;-1.00871e-05;9.45182e-11;145;144;0;1
SD;Staly 0.05;0.05;65;-0.684234;-1.91451;4.17949e-06;-1.00902e-05;9.45763e-11;144;143;0;1
SD;Staly 0.05;0.05;66;-1.87399;-0.878711;-1.74755;0.873767;0.298638;123;122;0;1
SD;Staly 0.05;0.05;67;0.74985;0.025439;4.1178e-06;-9.94124e-06;9.18048e-11;128;127;0;1
SD;Staly 0.05;0.05;68;1.65497;0.514624;1.74755;-0.873767;0.298638;121;120;0;1
SD;Staly 0.05;0.05;69;-0.69696;1.81712;-4.41519e-06;1.06592e-05;1.05544e-10;150;149;0;1
SD;Staly 0.05;0.05;70;1.64359;-1.12137;1.74755;-0.873785;0.298638;103;102;0;1
SD;Staly 0.05;0.05;71;1.94942;1.64728;1.74755;-0.873767;0.298638;127;126;0;1
SD;Staly 0.05;0.05;72;1.93403;1.70045;1.74755;-0.873767;0.298638;127;126;0;1
SD;Staly 0.05;0.05;73;1.25921;-0.389334;1.74755;-0.873767;0.298638;114;113;0;1
SD;Staly 0.05;0.05;74;0.86797;-1.17599;4.24451e-06;-1.02472e-05;9.75418e-11;149;148;0;1
SD;Staly 0.05;0.05;75;0.172128;1.82653;-4.30211e-06;1.03862e-05;1.00207e-10;145;144;0;1
SD;Staly 0.05;0.05;76;-1.44492;0.329224;-1.74755;0.873767;0.298638;112;111;0;1
SD;Staly 0.05;0.05;77;-0.271818;0.037689;-4.10325e-06;9.90613e-06;9.11574e-11;116;115;0;1
SD;Staly 0.05;0.05;78;-0.428182;-1.26028;4.25882e-06;-1.02817e-05;9.82006e-11;139;138;0;1
