0,2;0,5
0,144514;0,377743
0,106448;0,284276
0,0790859;0,213582
0,0590117;0,160338
0,0441341;0,120316
0,0330487;0,0902628
0,0247648;0,0677079
0,0185645;0,0507855
0,0139195;0,0380911
0,010438;0,0285691
0,00782782;0,0214272
0,00587058;0,0160705
0,00440281;0,012053
0,00330206;0,00903974
0,00247652;0,00677982
0,00185738;0,00508487
0,00139303;0,00381365
0,00104477;0,00286024
0,000783579;0,00214518
0,000587684;0,00160889
0,000440763;0,00120666
0,000330572;0,000904998
0,000247929;0,000678748
0,000185947;0,000509061
0,00013946;0,000381796
0,000104595;0,000286347
7,84463e-05;0,00021476
5,88347e-05;0,00016107
4,41261e-05;0,000120803
3,30945e-05;9,0602e-05
2,48209e-05;6,79515e-05
1,86157e-05;5,09636e-05
1,39618e-05;3,82227e-05
1,04713e-05;2,8667e-05
7,85349e-06;2,15003e-05
5,89012e-06;1,61252e-05
4,41759e-06;1,20939e-05
3,31319e-06;9,07043e-06
2,48489e-06;6,80282e-06
1,86367e-06;5,10212e-06
1,39775e-06;3,82659e-06
1,04831e-06;2,86994e-06
