b-a
200
123.607
123.607
76.3932
76.3932
47.2136
47.2136
29.1796
29.1796
18.034
18.034
11.1456
11.1456
6.88837
6.88837
4.25725
4.25725
2.63112
2.63112
1.62612
1.62612
1.005
1.005
0.621124
0.621124
0.383876
0.383876
0.237248
0.237248
0.146627
0.146627
0.0906208
0.0906208
0.0560067
0.0560067
0.034614
0.034614
0.0213927
0.0213927
0.0132213
0.0132213
0.00817148
0.00817148
0.00504979
0.00504979
0.00312169
0.00312169
0.0019281
0.0019281
0.00119359
0.00119359
0.000734515
0.000734515
0.000459072
0.000459072
0.000275443
