Czas;VA;VB;TB
161x;-266.231x;247.949x;20014x
162x;-266.231x;247.801x;20013.2x
163x;-266.231x;247.654x;20012.4x
164x;-266.231x;247.506x;20011.6x
165x;-266.231x;247.359x;20010.8x
166x;-266.231x;247.212x;20009.9x
167x;-266.231x;247.065x;20009.1x
168x;-266.231x;246.917x;20008.3x
169x;-266.231x;246.77x;20007.5x
170x;-266.231x;246.623x;20006.7x
171x;-266.231x;246.476x;20005.9x
172x;-266.231x;246.329x;20005.1x
173x;-266.231x;246.182x;20004.3x
174x;-266.231x;246.035x;20003.5x
175x;-266.231x;245.889x;20002.6x
176x;-266.231x;245.742x;20001.8x
177x;-266.231x;245.595x;20001x
178x;-266.231x;245.448x;20000.2x
179x;-266.231x;245.302x;19999.4x
180x;-266.231x;245.155x;19998.6x
181x;-266.231x;245.009x;19997.8x
182x;-266.231x;244.862x;19996.9x
183x;-266.231x;244.716x;19996.1x
184x;-266.231x;244.569x;19995.3x
185x;-266.231x;244.423x;19994.5x
186x;-266.231x;244.277x;19993.7x
187x;-266.231x;244.13x;19992.9x
188x;-266.231x;243.984x;19992x
189x;-266.231x;243.838x;19991.2x
190x;-266.231x;243.692x;19990.4x
191x;-266.231x;243.546x;19989.6x
192x;-266.231x;243.4x;19988.8x
193x;-266.231x;243.254x;19987.9x
194x;-266.231x;243.108x;19987.1x
195x;-266.231x;242.962x;19986.3x
196x;-266.231x;242.816x;19985.5x
197x;-266.231x;242.67x;19984.7x
198x;-266.231x;242.524x;19983.8x
199x;-266.231x;242.379x;19983x
200x;-266.231x;242.233x;19982.2x
201x;-266.231x;242.087x;19981.4x
202x;-266.231x;241.942x;19980.5x
203x;-266.231x;241.796x;19979.7x
204x;-266.231x;241.651x;19978.9x
205x;-266.231x;241.505x;19978.1x
206x;-266.231x;241.36x;19977.2x
207x;-266.231x;241.215x;19976.4x
208x;-266.231x;241.069x;19975.6x
209x;-266.231x;240.924x;19974.8x
210x;-266.231x;240.779x;19973.9x
211x;-266.231x;240.634x;19973.1x
